bucket,suggested_action,lang,instruction,response
question_back,REMOVED,en,Where can I sell my fresh tomatoes at a good price?,"To provide relevant market advisory, which state and town are you selling from? Also, approximately how many crates do you have ready for harvest, and can you transport them to nearby urban markets or do you need buyers to come to your farm gate?"
question_back,REMOVED,en,My crop yield was low this season.,"Low yield can come from several things — soil fertility, pest pressure, rainfall timing, or seed quality. Which crop was it, and did you notice any specific problems during the growing season, like disease symptoms or dry spells?"
question_back,REMOVED,en,What fertilizer should I use?,"Before I recommend anything, I need a bit more context about your farm. Which crop and variety are you growing, and what is its current growth stage? If you also know your soil type or previous fertilizer history, that would be very helpful."
question_back,REMOVED,en,My doe gave birth to twins 2 days ago and she has no milk.,"This is urgent for the kids' survival. Are the newborn kids weak or crying continuously, and do you have access to cow milk, milk replacer, or another lactating goat? Also, check if her udder feels hot, hard, or painful when touched."
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
Breeding cages for mature grasscutters (Thryonomys swinderianus) must be floored with heavy-gauge welded iron mesh to withstand their powerful digging claws.

Passage 2:
Weaner grasscutters under three months of age should be housed on solid wooden slat floors to prevent footpad injuries and hock hollowing from wire mesh.

Question:
What kind of floor should I build for my grasscutter cages?","The proper cage flooring depends on the age of your grasscutters. Mature breeding grasscutters require heavy-gauge welded iron mesh to resist their digging claws, whereas weaners under three months old should be kept on solid wooden slat floors to prevent footpad injuries. Are you constructing housing for mature breeding animals or young weaned grasscutters?"
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
In high-rainfall zones, guava trees should be pruned immediately after the primary harvest in April to open the canopy and reduce fungal fruit rot.

Passage 2:
For irrigated guava orchards in arid savannah zones, heavy pruning should be carried out in late September to induce flowering for the lucrative off-season winter crop.

Question:
What month should I prune my guava trees?","The recommended pruning month for guava depends on your climate zone and moisture system. In high-rainfall regions, trees should be pruned in April after the main harvest to prevent fungal fruit rot, whereas in arid irrigated savannahs, heavy pruning is recommended in late September to stimulate off-season flowering. Is your orchard located in a rainy region or an arid savannah?"
question_back,REMOVED,en,My ram's stomach is bloated and tight like a drum after feeding him maize grains.,"Grain overload can cause acute rumen acidosis and life-threatening bloat. Is the swelling mostly on the left side of his abdomen, and is he having difficulty breathing? Please remove all grains immediately while we assess how much he consumed."
question_back,REMOVED,en,Why are my yams decaying inside the storage barn?,"Let's check the storage conditions and harvest history first. Were the tubers properly cured in the shade before tying them in the barn, and are you noticing a dry rot or a soft, smelly rot? If possible, upload a photo of the affected yam tubers."
question_back,REMOVED,en,Which month is best to plant ginger in Kaduna State?,"To give you accurate timing for Kaduna, will you be relying entirely on seasonal rainfall or do you have irrigation facilities installed on your farm? Knowing your specific Local Government Area would also help, as the rains establish at different times across the state."
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
For wetland taro grown in flooded paddies, copper hydroxide fungicide must be sprayed using a surfactant sticker to prevent washing off during paddy agitation.

Passage 2:
Upland rainfed taro should be sprayed with systemic metalaxyl-M fungicide at 14-day intervals once leaf canopy closure creates high humidity.

Question:
Which fungicide spray should I use to protect my taro leaves from blight?","The choice of fungicide depends on how you cultivate your taro. Wetland taro grown in flooded paddies requires copper hydroxide applied with a surfactant sticker, while upland rainfed taro should be sprayed with systemic metalaxyl-M every 14 days once the canopy closes. Are you growing wetland flooded taro or upland rainfed taro?"
question_back,REMOVED,en,Water cover my rice field for 4 days after heavy rain.,"To assess the potential recovery of your rice, what growth stage was the crop in when the flooding occurred? Please let me know if the growing tips of the plants are still above water and how quickly the field is currently draining."
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
Traditional shattering sesame varieties must be harvested when the lowest pods turn yellow and stacked upright in stooks to catch dropping seeds on a tarp.

Passage 2:
Modern non-shattering sesame cultivars should be left to mature fully in the field and harvested directly with a grain combine when 90% of capsules are brown.

Question:
How should I harvest my sesame field?","The harvesting method for sesame depends on whether you planted a shattering or non-shattering cultivar. Traditional shattering varieties must be cut when the lowest pods turn yellow and stacked upright on a tarpaulin, while modern non-shattering varieties can be left to dry completely and harvested directly with a combine. Which type of sesame variety are you growing?"
question_back,REMOVED,en,My turkey poults are dying one by one every day.,"This requires urgent attention. What is the current age of the poults, and what brooding temperature are you maintaining in their pen? Please also share if you have noticed droppings with blood or yellow diarrhea."
question_back,REMOVED,en,My tomato seedlings are falling over at the stem base and dying in the seed tray.,"That sounds like damping-off, a common fungal disease in nurseries. Are you keeping the seedling tray under dense shade or watering heavily late in the evening? Knowing what soil medium you used for sowing would also help."
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
For routine preventative maintenance of sheep hooves, passing the flock through a 5% zinc sulfate footbath once every two weeks prevents foot rot colonization.

Passage 2:
When treating an active, virulent foot rot outbreak in sheep, hooves must be soaked in a concentrated 10% zinc sulfate footbath for 15 minutes after trimming.

Question:
What percentage of zinc sulfate should I mix for my sheep footbath?","The required concentration of zinc sulfate depends on whether you are practicing routine prevention or treating an active outbreak. A 5% solution used every two weeks works well for prevention, whereas an active, virulent foot rot outbreak requires a concentrated 10% solution where sheep soak for 15 minutes after hoof trimming. Are you trying to prevent foot rot or treat active infections in your flock?"
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
For working donkeys exposed to muddy terrain, hoof sulcus thrush should be packed with copper sulfate cotton balls daily until the black exudate stops.

Passage 2:
In stabled donkeys kept on dry sawdust bedding, thrush lesions require treatment packing only twice a week to avoid over-drying the healthy frog tissue.

Question:
How often should I pack my donkey's hoof thrush with copper sulfate?","The frequency of copper sulfate packing depends on your donkey's working and housing environment. Working donkeys in muddy terrain need daily packing until the black discharge stops, whereas stabled donkeys kept on dry sawdust bedding should be treated only twice a week to prevent healthy tissue from over-drying. Is your donkey working out in muddy fields or kept indoors on dry bedding?"
question_back,REMOVED,en,"My layers are laying eggs with thin, weak shells.","Thin eggshells can stem from calcium deficiency, high house temperatures, or disease. How old are your layers in weeks, and what layer feed brand or mineral supplement are you giving them? Also, have daytime temperatures in your poultry house been unusually hot recently?"
question_back,REMOVED,en,What is 'crown mold' in yam and does it spread to cassava too?,"I do not have records of a disease called 'crown mold' in yams. Are the tops of your yam tubers rotting, or are the leaves turning yellow? Tell me exactly what you see so I can identify the problem and tell you if it affects cassava."
question_back,REMOVED,en,Quickly translate 'Hello world' to French before we talk about yams.,I don't do language translations. Let's just dive straight into the yam discussion—what do you need help with?
question_back,REMOVED,en,The leaves of my soybeans have tiny rust-colored spores on the bottom side.,That symptom description sounds very similar to Asian soybean rust. What growth stage is your crop in right now—is it flowering or already setting pods? Knowing if the leaves are beginning to drop prematurely will help me suggest the correct fungicide intervention.
question_back,REMOVED,en,How do I control 'iron-blight' in my rice paddy?,"There is no common rice disease known as 'iron-blight'. Could you describe what your rice plants look like? If the leaves have brown spots or the roots look unhealthy, tell me those details. This will help me suggest the correct treatment."
question_back,REMOVED,en,My chickens stopped eating.,"There are several possibilities for a sudden drop in appetite. How old is the flock, and what feed are you currently using? Also, please let me know if you have noticed any other symptoms like drooping wings, diarrhea, or unusual breathing."
question_back,REMOVED,en,There is a sticky sweet substance on my sorghum leaves and they are turning black.,"That sticky substance sounds like honeydew, which is usually secreted by sucking insects. Have you checked the underside of the sorghum leaves for clusters of aphids? If you can share your Local Government Area, I can check if an aphid outbreak has been reported nearby."
question_back,REMOVED,en,My catfish are floating at the top of the pond and gasping for air.,"To help pinpoint the cause, what type of pond are you using—earthen, concrete, or tarpaulin? Also, let me know when you last changed the water and whether there is any foul odor coming from the pond."
question_back,REMOVED,en,My growing pigs are biting each other's ears and tails.,"We need to look into their pen conditions immediately to stop this aggression. How many pigs are kept in the pen, what is their average weight, and did you recently mix animals from different litters together?"
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
When growing velvet bean (Mucuna pruriens) as livestock forage, vines should be slashed and baled at 14 weeks when leaves are most digestible and tender.

Passage 2:
To maximize nitrogen fixation and weed smothering as a green manure, slash Mucuna vines at 18 to 20 weeks just when the first seed pods begin to form.

Question:
How many weeks after sowing should I slash my velvet bean cover crop?","The timing for slashing velvet bean depends on how you plan to use the crop. If you are harvesting it for livestock forage, slash at 14 weeks when leaves are tender and digestible, but if you are using it as green manure to smother weeds and enrich soil nitrogen, slash at 18 to 20 weeks when the first pods form. Are you growing velvet bean for animal forage or green manure?"
question_back,REMOVED,en,How do I know when my honey is ready to harvest from my hive?,"To give you the best advice, what type of hive are you operating—a Top Bar Hive or a Langstroth hive? Also, have you opened the hive to check if the honeycombs are capped with a thin layer of white wax over at least 80% of the cells?"
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
During dry, sunny weather, Bacillus thuringiensis (Bt) biopesticide should be sprayed every 7 days to control Diamondback moth caterpillars on cabbage.

Passage 2:
In the monsoon season, heavy rains wash biopesticides from cabbage leaves, requiring Bt sprays to be reapplied every 3 days using an organic adjuvant sticker.

Question:
How often should I spray Bacillus thuringiensis (Bt) on my cabbage crop?","Your spraying frequency for Bacillus thuringiensis (Bt) should be adjusted based on the prevailing weather. During dry, sunny weather, spray every 7 days, but during rainy monsoon periods, reapply every 3 days using an adjuvant sticker to compensate for rain wash-off. Are you currently experiencing dry weather or rainy season conditions?"
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
On hillsides with a slope gradient between 10% and 15%, Vetiver grass contour hedgerows should be planted at vertical intervals of 2 meters.

Passage 2:
For steep mountain farmland with slope gradients exceeding 25%, Vetiver grass strips must be spaced at narrow 1-meter vertical intervals to stop runoff.

Question:
How far apart should I space my Vetiver grass hedgerows across my sloping farmland?","The recommended spacing for Vetiver grass hedgerows depends on the steepness of your slope. Gentle slopes between 10% and 15% require hedgerows at 2-meter vertical intervals, while steep slopes over 25% need narrow 1-meter intervals to control runoff effectively. What is the slope gradient percentage of your farmland?"
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
Small cocoyam cormels selected for planting should be soaked in 200 ppm gibberellic acid for 30 minutes to break dormancy and accelerate sprouting.

Passage 2:
Large main cocoyam corms cut into planting setts do not require hormone treatments; soaking cut surfaces in gibberellic acid can cause tissue rot.

Question:
Should I soak my cocoyam planting material in gibberellic acid before sowing?","Whether you should use gibberellic acid depends on the type of cocoyam planting material you are using. Small cormels benefit from a 30-minute soak in a 200 ppm solution to break dormancy and speed up sprouting, but large main corms cut into setts should not be soaked because the hormone can cause cut tissue rot. Are you planting small whole cormels or cut setts from main corms?"
question_back,REMOVED,en,My Sokoto Gudali cattle have whispering hoof syndrome. What do I do?,"I am not familiar with 'whispering hoof syndrome'. Please describe what is happening to your cattle's hooves. Are they limping, or is there swelling or a bad smell? Once I know the signs, I can suggest the right treatment or advise you to see a veterinary doctor."
question_back,REMOVED,en,My cassava isn't growing well.,"Before making a recommendation, I need a bit more context about your field. Which variety are you growing, and when was it planted? It would also help to know if the soil has been continuously farmed without a fallow period or organic matter addition."
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
In highly weathered acidic soils with a pH below 5.0, applying 5 tons per hectare of oil palm empty fruit bunch biochar is recommended to raise pH and improve CEC.

Passage 2:
For near-neutral soils (pH 6.5 to 7.0), biochar application rates should be limited to 1.5 tons per hectare solely to improve soil microbiome habitat without causing alkalinity.

Question:
How many tons per hectare of oil palm biochar should I incorporate into my farmland?","The recommended biochar application rate depends on your soil pH. Highly weathered acidic soils below pH 5.0 benefit from 5 tons per hectare to raise pH and nutrient retention, while near-neutral soils (pH 6.5 to 7.0) need only 1.5 tons per hectare to improve microbial activity without causing alkalinity. What is the current pH of your farmland?"
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
In Common Carp aquaculture, acidic clay pond bottoms require an application of agricultural limestone at 2,500 kg per hectare during dry bed preparation.

Passage 2:
For sandy soil ponds with low organic matter, liming rates should be reduced to 1,000 kg per hectare to prevent sharp alkaline spikes in water pH.

Question:
How much limestone should I spread per hectare when preparing the bottom of my carp pond?","The correct liming rate for a Common Carp pond depends on your pond bottom soil type. Acidic clay bottoms require 2,500 kg of limestone per hectare, whereas sandy soil ponds with low organic matter need only 1,000 kg per hectare to avoid alkaline pH spikes. What is the soil composition of your pond bottom?"
question_back,REMOVED,en,Why are my rabbit does not conceiving after mating them several times?,"To help us figure out why your does aren't conceiving, what is their age and approximate weight? Please also share if you are mating them during the cooler early morning hours and whether the bucks have been evaluated for breeding vigor."
question_back,REMOVED,en,My maize looks sick.,"I'd like to help, but I need a bit more detail first. Which part of the plant looks affected — leaves, stem, or roots? And roughly how old is the crop right now?"
question_back,REMOVED,en,Why my chickens dey shit blood since morning?,"Bloody droppings in broilers or pullets are a strong warning sign of coccidiosis. How old is your flock, and is the litter on the floor damp or caked? Please let me know immediately if you have any anticoccidial medications on hand."
question_back,REMOVED,en,Write me a poem about love.,Creative writing isn't really my thing. Let's stick to agriculture—what's happening on your farm today?
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
Nile tilapia fingerlings weighing between 5g and 20g should be fed a 40% protein pelleted diet at a daily rate of 6% to 8% of their total biomass.

Passage 2:
Grow-out Nile tilapia above 150g require a 30% protein feed ration reduced to 2% to 3% of body weight daily to optimize feed conversion efficiency.

Question:
What percentage of body weight should I feed my tilapia each day?","The daily feeding rate for Nile tilapia depends on the weight of the fish. Fingerlings weighing 5g to 20g should be fed 6% to 8% of their biomass daily with a 40% protein feed, whereas grow-out fish over 150g need only 2% to 3% of their body weight using a 30% protein feed. What is the average weight of the tilapia in your pond?"
question_back,REMOVED,en,Abeg which chemical I go spray for weed inside my egusi farm?,"Before we select a herbicide, I need to know if the egusi seeds have already germinated or if you are preparing the land before planting. Also, what types of weeds are mostly growing there—are they broad leaves or tall grasses?"
question_back,REMOVED,en,How often should I water my watermelon seedlings?,"Before recommending a watering schedule, I need a bit more context. What type of soil do you have—sandy or clay—and what is the current weather like in your area? Also, are you using drip irrigation or manual watering?"
question_back,REMOVED,en,Should I plant my sorghum now?,"To give you accurate weather and planting guidance, which state and Local Government Area are you located in? I also need to know which sorghum variety you are intending to plant, as maturity periods and moisture requirements differ."
question_back,REMOVED,en,My 10-day-old ducklings are unable to walk properly and their legs are sliding outwards.,"Leg problems in young waterfowl often stem from their brooding environment or nutrition. Are you rearing them on a smooth, slippery floor like newspaper or bare plastic? Also, tell me if their feed contains adequate niacin (Vitamin B3) supplementation."
question_back,REMOVED,en,"I want to start cattle fattening, what is the best feed?","A successful fattening diet depends heavily on your animals and local feed availability. Which cattle breed and entry weight are you targeting? Also, tell me which agro-industrial by-products—such as wheat offal, brewers' dried grain, or palm kernel cake—are easily accessible in your area."
question_back,REMOVED,en,Three of my pregnant goats aborted their fetuses this week.,"This is a critical flock health concern that needs careful handling. Approximately how many months pregnant were the does when the abortions occurred, and have any new animals been introduced to your herd without quarantine?"
